Greedy Algorithm 
Start ---> Finish

2171 -----> 1487
1487 -----> 4439
4439 -----> 756
756 -----> 4108
4108 -----> 1378
1378 -----> 2979
2979 -----> 786
786 -----> 1260
1260 -----> 2489
2489 -----> 2506
2506 -----> 3426
3426 -----> 3021
3021 -----> 2881
2881 -----> 1079
1079 -----> 4016
4016 -----> 2247
2247 -----> 2912
2912 -----> 724
724 -----> 886
886 -----> 2590
2590 -----> 2122
2122 -----> 3963
3963 -----> 2848
2848 -----> 2834
2834 -----> 4516
4516 -----> 1372
1372 -----> 1865
1865 -----> 3726
3726 -----> 1926
1926 -----> 1904
1904 -----> 4105
4105 -----> 3531
3531 -----> 3948
3948 -----> 4154
4154 -----> 1412
1412 -----> 2380
2380 -----> 2873
2873 -----> 58
58 -----> 710
710 -----> 1921
1921 -----> 2654
2654 -----> 1781
1781 -----> 2337
2337 -----> 2453
2453 -----> 1727
1727 -----> 3411
3411 -----> 2896
2896 -----> 4361
4361 -----> 347
347 -----> 2706
2706 -----> 598
598 -----> 4313
4313 -----> 795
795 -----> 1245
1245 -----> 3951
3951 -----> 3992
3992 -----> 3142
3142 -----> 334
334 -----> 556
556 -----> 2061
2061 -----> 2759
2759 -----> 158
158 -----> 734
734 -----> 2353
2353 -----> 1514
1514 -----> 1052
1052 -----> 4643
4643 -----> 934
934 -----> 739
739 -----> 1219
1219 -----> 3395
3395 -----> 23
23 -----> 3077
3077 -----> 1357
1357 -----> 4401
4401 -----> 4657
4657 -----> 2880
2880 -----> 771
771 -----> 3595
3595 -----> 4063
4063 -----> 3055
3055 -----> 2333
2333 -----> 3680
3680 -----> 3917
3917 -----> 3877
3877 -----> 3134
3134 -----> 3246
3246 -----> 2438
2438 -----> 3828
3828 -----> 394
394 -----> 943
943 -----> 3767
3767 -----> 4234
4234 -----> 1574
1574 -----> 247
247 -----> 701
701 -----> 4475
4475 -----> 4489
4489 -----> 825
825 -----> 1676
1676 -----> 2396
2396 -----> 1928
1928 -----> 2005
2005 -----> 1997
1997 -----> 4415
4415 -----> 2952
2952 -----> 2020
2020 -----> 2695
2695 -----> 4009
4009 -----> 4648
4648 -----> 1624
1624 -----> 901
901 -----> 2507
2507 -----> 427
427 -----> 916
916 -----> 323
323 -----> 218
218 -----> 2418
2418 -----> 1955
1955 -----> 4207
4207 -----> 4546
4546 -----> 3183
3183 -----> 3164
3164 -----> 356
356 -----> 143
143 -----> 2580
2580 -----> 3505
3505 -----> 4282
4282 -----> 1493
1493 -----> 2787
2787 -----> 142
142 -----> 1194
1194 -----> 611
611 -----> 1767
1767 -----> 3469
3469 -----> 2107
2107 -----> 2829
2829 -----> 1353
1353 -----> 2926
2926 -----> 4510
4510 -----> 2953
2953 -----> 403
403 -----> 2270
2270 -----> 4355
4355 -----> 1471
1471 -----> 4329
4329 -----> 3312
3312 -----> 386
386 -----> 1647
1647 -----> 936
936 -----> 1932
1932 -----> 1268
1268 -----> 1859
1859 -----> 363
363 -----> 4236
4236 -----> 1762
1762 -----> 4035
4035 -----> 2180
2180 -----> 2259
2259 -----> 3559
3559 -----> 2614
2614 -----> 3932
3932 -----> 3855
3855 -----> 2344
2344 -----> 1547
1547 -----> 2261
2261 -----> 3601
3601 -----> 2138
2138 -----> 4196
4196 -----> 852
852 -----> 2714
2714 -----> 1105
1105 -----> 354
354 -----> 3448
3448 -----> 3486
3486 -----> 4416
4416 -----> 2496
2496 -----> 1189
1189 -----> 648
648 -----> 2172
2172 -----> 1225
1225 -----> 1964
1964 -----> 1296
1296 -----> 4474
4474 -----> 2050
2050 -----> 1562
1562 -----> 3006
3006 -----> 3182
3182 -----> 1850
1850 -----> 3316
3316 -----> 4233
4233 -----> 4570
4570 -----> 4339
4339 -----> 2843
2843 -----> 2039
2039 -----> 32
32 -----> 2562
2562 -----> 2466
2466 -----> 2544
2544 -----> 3562
3562 -----> 1214
1214 -----> 3620
3620 -----> 3824
3824 -----> 1434
1434 -----> 999
999 -----> 1939
1939 -----> 4316
4316 -----> 758
758 -----> 1292
1292 -----> 2257
2257 -----> 2148
2148 -----> 3455
3455 -----> 1868
1868 -----> 3093
3093 -----> 858
858 -----> 252
252 -----> 1527
1527 -----> 2571
2571 -----> 2967
2967 -----> 944
944 -----> 21
21 -----> 838
838 -----> 1810
1810 -----> 3174
3174 -----> 1661
1661 -----> 4365
4365 -----> 3861
3861 -----> 2627
2627 -----> 3058
3058 -----> 4258
4258 -----> 408
408 -----> 822
822 -----> 4078
4078 -----> 1788
1788 -----> 2052
2052 -----> 1359
1359 -----> 4142
4142 -----> 285
285 -----> 2419
2419 -----> 2884
2884 -----> 2228
2228 -----> 1414
1414 -----> 320
320 -----> 4072
4072 -----> 2243
2243 -----> 3934
3934 -----> 2275
2275 -----> 3225
3225 -----> 402
402 -----> 503
503 -----> 3184
3184 -----> 1024
1024 -----> 678
678 -----> 3437
3437 -----> 2594
2594 -----> 1592
1592 -----> 3820
3820 -----> 3926
3926 -----> 1829
1829 -----> 2237
2237 -----> 3545
3545 -----> 1873
1873 -----> 3755
3755 -----> 327
327 -----> 4109
4109 -----> 1605
1605 -----> 973
973 -----> 4024
4024 -----> 3013
3013 -----> 360
360 -----> 2710
2710 -----> 798
798 -----> 3503
3503 -----> 1338
1338 -----> 449
449 -----> 1793
1793 -----> 1696
1696 -----> 2468
2468 -----> 1420
1420 -----> 3714
3714 -----> 3263
3263 -----> 3960
3960 -----> 2510
2510 -----> 2779
2779 -----> 480
480 -----> 889
889 -----> 2062
2062 -----> 2332
2332 -----> 3301
3301 -----> 4076
4076 -----> 3435
3435 -----> 3057
3057 -----> 2599
2599 -----> 3282
3282 -----> 4286
4286 -----> 4062
4062 -----> 2082
2082 -----> 1453
1453 -----> 1863
1863 -----> 4431
4431 -----> 3606
3606 -----> 180
180 -----> 4395
4395 -----> 1230
1230 -----> 546
546 -----> 835
835 -----> 1711
1711 -----> 3444
3444 -----> 2761
2761 -----> 3061
3061 -----> 2213
2213 -----> 1773
1773 -----> 1912
1912 -----> 1506
1506 -----> 224
224 -----> 763
763 -----> 4552
4552 -----> 4069
4069 -----> 695
695 -----> 4468
4468 -----> 4417
4417 -----> 2704
2704 -----> 2987
2987 -----> 1618
1618 -----> 2985
2985 -----> 772
772 -----> 2798
2798 -----> 2075
2075 -----> 3944
3944 -----> 90
90 -----> 769
769 -----> 150
150 -----> 1896
1896 -----> 310
310 -----> 140
140 -----> 1870
1870 -----> 22
22 -----> 4007
4007 -----> 2898
2898 -----> 366
366 -----> 1479
1479 -----> 3454
3454 -----> 3596
3596 -----> 3712
3712 -----> 2349
2349 -----> 1910
1910 -----> 2790
2790 -----> 453
453 -----> 3379
3379 -----> 2011
2011 -----> 3167
3167 -----> 1669
1669 -----> 3165
3165 -----> 283
283 -----> 3491
3491 -----> 1930
1930 -----> 3660
3660 -----> 3267
3267 -----> 3523
3523 -----> 69
69 -----> 4424
4424 -----> 3546
3546 -----> 260
260 -----> 292
292 -----> 1706
1706 -----> 2853
2853 -----> 489
489 -----> 4352
4352 -----> 3835
3835 -----> 638
638 -----> 4150
4150 -----> 2668
2668 -----> 2495
2495 -----> 1584
1584 -----> 2757
2757 -----> 2845
2845 -----> 3222
3222 -----> 1243
1243 -----> 210
210 -----> 17
17 -----> 3605
3605 -----> 4178
4178 -----> 2151
2151 -----> 2948
